No of bedrooms,No of bathrooms,living area,No of floors,waterfront present,No of views,house condition,house grade,Built Year,Renovation Year,Lattitude,Longitude,living_area_renov,Price,Total floor area,Total lot area
2,1.0,990,1.0,0,0,3,7,1977,0,52.5602,-114.495,1560,179000,990,20640
2,1.0,1740,1.0,0,0,3,6,1947,0,52.7242,-114.494,960,173000,1740,16200
1,1.0,500,1.0,0,0,1,5,1928,0,52.7552,-114.552,1350,125000,500,14880
4,3.25,3990,2.0,0,0,4,11,1989,0,52.8477,-114.419,3450,2720000,3990,34202
4,3.5,4020,2.0,0,0,3,11,2001,0,52.8762,-114.402,3930,1690000,4020,27030
5,4.5,5130,2.0,0,0,3,11,1996,0,52.774,-114.316,4670,1600000,5130,86683
4,1.75,3720,1.0,0,3,4,9,1947,0,52.8725,-114.596,2540,1280000,3720,15512
4,3.5,3560,2.0,0,0,3,10,2014,0,52.8229,-114.164,3710,882990,3560,13124
3,1.5,2040,2.0,0,2,5,8,1928,0,52.8958,-114.545,1540,857500,2040,7360
3,2.75,2660,1.0,0,4,4,8,1971,0,52.8168,-114.306,2820,851000,2660,20393
4,2.5,2660,2.0,0,2,3,9,2003,0,52.7745,-114.186,3010,765000,2660,10543
3,1.75,2120,2.0,0,0,3,7,1920,2010,52.8966,-114.521,2020,765000,2120,10000
4,2.5,2850,2.0,0,0,3,9,2008,0,52.9215,-114.367,2540,750000,2850,24429
3,1.75,2560,1.0,0,0,3,7,1911,0,52.8507,-114.485,1620,747000,2560,9600
5,2.75,2930,2.0,0,0,3,9,2013,0,52.7608,-114.374,2750,718000,2930,17998
3,2.25,1920,1.0,0,0,4,8,1968,0,52.8641,-114.293,2040,652000,1920,19200
4,2.5,1990,2.0,0,0,4,10,1989,0,52.791,-114.208,2580,639000,1990,16068
3,1.75,2410,1.0,0,0,3,8,1980,2001,52.9951,-114.356,2110,620000,2410,52216
4,3.25,5450,1.5,0,0,5,9,1984,0,52.581,-114.277,2800,610000,5450,72774
4,2.5,2420,2.0,0,0,3,7,2001,0,52.9174,-114.227,2280,597400,2420,10062
3,3.0,2780,2.0,0,0,3,9,2013,0,52.7484,-114.076,2850,594866,2780,12000
4,1.5,2080,1.5,0,0,3,7,1925,0,52.836,-114.489,1680,592500,2080,8800
4,2.5,2320,2.0,0,0,3,8,1991,0,52.9626,-114.416,2260,562500,2320,16989
2,2.0,1400,2.0,0,0,3,8,2006,0,52.9019,-114.582,1400,553000,1400,5012
4,1.75,1840,1.0,0,0,4,7,1918,0,52.8981,-114.51,1660,540000,1840,8560
3,1.5,1310,1.0,0,0,4,7,1928,0,52.9244,-114.523,1680,526500,1310,11414
4,2.5,3130,2.0,0,0,3,9,2008,0,52.7297,-114.341,2950,525000,3130,11054
3,2.5,1480,3.0,0,0,3,8,2006,0,52.8499,-114.49,1480,520000,1480,2396
4,2.75,2440,1.0,0,0,5,8,1966,0,52.9756,-114.541,2030,518000,2440,20057
4,2.75,2630,1.0,0,0,4,7,1976,0,52.9725,-114.279,1800,500000,2630,31500
4,2.5,1850,2.0,0,0,3,7,2005,0,52.7829,-114.186,1770,476100,1850,4072
3,1.0,1500,1.0,0,0,4,8,1952,0,52.9435,-114.522,1440,475500,1500,16616
3,1.75,2290,1.0,0,0,3,8,1981,0,52.9698,-114.231,2410,450000,2290,89732
4,2.5,2708,2.0,0,0,3,9,2014,0,52.5713,-114.368,2502,436952,2708,9672
4,3.5,2584,2.0,0,0,3,8,2014,0,52.526,-114.54,2767,429900,2584,10206
3,1.75,2650,1.5,0,0,4,7,1962,0,53.0016,-114.507,1340,415000,2650,15000
2,1.5,1240,1.0,0,0,4,6,1909,0,52.8052,-114.578,1240,412000,1240,8209
3,2.25,1880,1.0,0,0,3,8,1958,0,52.9923,-114.446,2300,399000,1880,22942
4,2.25,2680,2.0,0,0,3,8,1986,0,52.6913,-114.187,2980,390000,2680,70436
4,2.5,2130,2.0,0,0,3,8,2003,0,52.6818,-114.31,1940,381000,2130,10532
4,1.5,1430,1.5,0,0,3,7,1948,0,52.9497,-114.518,1540,375000,1430,14464
3,2.5,2430,2.0,0,0,3,8,2001,0,52.6086,-114.317,2910,372000,2430,10620
2,1.0,1390,1.0,0,0,4,6,1925,0,52.7532,-114.561,1290,354000,1390,10240
4,2.75,2300,1.5,0,0,3,6,1966,0,52.8032,-114.495,1260,350000,2300,6350
4,2.75,3390,1.0,0,0,4,7,1961,0,52.6254,-114.374,2530,350000,3390,24648
3,1.0,1030,1.0,0,0,3,6,1948,0,52.7555,-114.566,1030,335000,1030,14400
4,1.0,1480,1.5,0,0,4,7,1914,0,52.7582,-114.457,2380,335000,1480,12500
3,1.75,1340,1.0,0,0,3,7,1978,0,52.7321,-113.96,1370,332000,1340,23915
3,1.5,1270,3.0,0,0,3,8,2009,0,52.9536,-114.543,1090,325000,1270,2185
4,1.75,1760,1.0,0,0,4,8,1968,0,52.7015,-114.308,1730,320000,1760,22360
2,1.0,1050,1.0,0,0,4,6,1947,0,52.9898,-114.506,1340,310000,1050,15871
3,1.75,1720,1.0,0,2,3,7,1954,0,52.7299,-114.413,1690,304000,1720,12000
2,1.0,820,1.0,0,0,3,6,1930,1986,52.6496,-114.355,1580,295000,820,296521
3,2.25,1500,1.0,0,0,4,7,1968,0,52.6919,-114.377,1480,290000,1500,14790
3,1.5,1870,1.0,0,0,3,7,1953,0,52.739,-114.503,1870,285000,1870,62035
4,2.0,1720,1.0,0,0,3,6,1923,0,52.7599,-114.478,1720,275000,1720,11142
2,0.5,1180,1.0,0,0,4,6,1945,0,52.999,-114.506,1380,273000,1180,16726
3,2.0,1610,1.0,0,0,3,7,1994,0,52.627,-114.377,1600,268000,1610,16724
3,1.5,1530,1.5,0,0,3,7,1986,0,52.5939,-114.245,2080,265000,1530,18750
2,1.0,1410,1.5,0,0,3,6,1918,0,52.7459,-114.448,1430,260000,1410,11300
2,1.0,780,1.0,0,0,4,6,1953,0,52.9656,-114.53,1310,254922,780,16320
4,2.0,1500,1.5,0,0,3,7,1983,0,52.5427,-114.544,1500,249900,1500,15188
3,1.5,1630,1.0,0,0,5,7,1980,0,52.52,-114.558,1440,230000,1630,13770
2,1.0,750,1.0,0,2,3,6,1937,0,52.705,-114.389,1430,213000,750,12540
3,1.0,1000,1.0,0,0,3,7,1954,0,52.9639,-114.527,1320,210000,1000,10704
3,1.75,1170,1.0,0,0,3,7,1967,0,52.5108,-114.544,1230,185000,1170,18170
3,1.0,940,1.5,0,0,4,7,1958,0,52.6056,-114.487,1170,185000,940,14250
3,1.5,1020,1.0,0,0,5,6,1959,0,52.7271,-114.358,1320,165000,1020,19044
5,1.5,1710,1.5,0,0,4,7,1961,0,52.6139,-114.478,1480,158550,1710,16125
1,0.75,840,1.5,0,0,3,6,1949,0,52.7056,-114.491,1560,124000,840,15806
4,1.75,2100,2.0,0,0,3,8,1909,2004,52.797,-114.575,1630,750000,2100,12363
2,1.75,1210,2.0,0,0,3,8,2014,0,52.7826,-114.188,1540,351358,1210,2861
1,1.0,580,1.0,0,0,3,7,1908,2005,52.9129,-114.565,1260,330600,580,5799
3,1.75,1550,1.0,0,0,4,7,1949,0,52.5398,-114.408,1760,199950,1550,15721
4,2.75,2040,1.0,0,0,4,8,1974,0,52.896,-114.375,2470,464625,2040,18176
3,1.75,1290,1.0,0,0,3,6,1943,0,52.7609,-114.544,1140,250800,1290,8000
3,1.0,1300,1.0,0,0,3,7,1968,0,52.5627,-114.496,1360,169575,1300,16132
4,3.25,4250,2.0,0,4,3,12,1996,0,52.7807,-114.303,4940,1620000,4250,25222
4,3.0,3720,2.5,0,0,5,9,1905,0,52.8582,-114.512,2610,1440000,3720,10432
5,3.5,4350,2.0,0,2,3,10,2007,0,52.7696,-114.187,3260,1150000,4350,12207
6,3.75,4090,2.0,0,0,3,9,1984,0,52.8708,-114.343,2980,1150000,4090,92899
6,4.25,3100,3.0,0,2,3,11,1978,0,52.8681,-114.504,3270,1130000,3100,15712
4,3.0,2720,1.5,0,0,5,8,1928,0,52.8895,-114.473,2260,1020000,2720,9600
4,2.5,3430,2.0,0,0,3,10,1992,0,52.995,-114.235,3190,829950,3430,79595
3,2.5,3400,1.0,0,4,3,8,1955,2015,52.9911,-114.562,3400,825000,3400,62738
3,1.75,2080,2.0,0,0,5,8,1906,0,52.9017,-114.546,1820,825000,2080,10000
4,2.5,3320,2.0,0,0,3,9,2014,0,52.9489,-114.415,1840,799950,3320,14858
5,3.5,3290,2.0,0,0,3,9,2004,0,52.9356,-114.309,3130,775000,3290,11200
3,2.5,3190,2.0,0,0,3,9,1988,0,52.8327,-114.233,3240,760750,3190,102280
4,2.5,3200,2.0,0,0,3,9,1993,0,52.8604,-114.184,2930,737500,3200,69447
4,3.5,4420,2.0,0,0,3,10,2004,0,52.7627,-114.05,3440,730000,4420,15753
4,2.25,2620,1.0,0,0,3,8,1979,0,52.8147,-114.265,2760,705000,2620,22967
4,2.5,3320,2.0,0,0,3,9,2001,0,52.5937,-114.145,2530,675000,3320,462607
3,2.5,2220,2.0,0,0,3,10,2012,0,52.7611,-114.264,2290,654000,2220,6086
4,2.0,1940,1.0,0,0,4,7,1910,0,52.9019,-114.559,1940,639000,1940,10000
3,2.0,2360,1.0,0,0,3,8,1981,0,52.7895,-114.057,2660,589000,2360,209959
3,2.5,1710,2.0,0,0,3,8,2003,0,52.8127,-114.577,1260,579000,1710,3220
4,2.25,2810,2.0,0,0,3,8,1959,0,52.5293,-114.483,2020,571500,2810,42130
3,2.75,3160,2.0,0,0,3,9,2005,0,52.7447,-114.367,3160,553000,3160,18144
2,1.0,1080,1.0,0,0,4,7,1922,0,52.9015,-114.583,1380,550000,1080,7076
4,2.5,2420,1.0,0,0,3,8,1988,0,52.8048,-114.203,2160,550000,2420,14863
3,2.5,2680,2.0,0,0,3,8,2001,0,52.9857,-114.413,2680,549950,2680,11720
3,2.5,2400,1.0,0,0,3,9,1983,0,52.8617,-114.231,2940,535000,2400,24696
2,1.5,1390,1.0,0,0,4,8,1954,0,52.7973,-114.591,1610,530000,1390,10000
2,2.5,1500,2.0,0,0,3,8,2014,0,52.8989,-114.553,1550,529950,1500,2693
3,3.25,1460,3.0,0,0,3,8,2000,0,52.8835,-114.543,1400,521000,1460,2509
3,2.0,1410,1.0,0,0,5,7,1908,0,52.9052,-114.551,1830,517950,1410,9000
4,2.5,2440,1.0,0,0,3,7,1955,1993,52.955,-114.362,1990,510000,2440,18181
3,2.5,1995,3.0,0,0,3,8,2005,0,52.8325,-114.5,1520,505000,1995,2656
3,1.75,1680,1.0,0,0,4,7,1952,0,52.9148,-114.581,1220,480000,1680,6432
3,1.75,2040,1.0,0,0,3,7,1997,0,52.6661,-114.659,1790,467500,2040,547112
4,2.5,2350,2.0,0,0,3,8,2014,0,52.7086,-114.313,2590,459995,2350,7896
2,2.5,1350,2.0,0,0,3,9,2004,0,52.7891,-114.575,1440,439000,1350,2294
3,2.5,1940,1.0,0,0,3,8,1979,0,52.9771,-114.265,2080,432500,1940,20400
3,2.5,1860,2.0,0,0,3,8,1994,0,52.7362,-114.341,2420,429000,1860,19664
4,1.0,1750,1.5,0,0,4,7,1954,0,52.8059,-114.327,1750,420000,1750,20130
5,3.0,2270,1.0,0,0,3,7,1995,0,52.9491,-114.505,1870,417500,2270,12851
3,1.5,1470,1.0,0,0,3,8,1955,0,52.9795,-114.517,1470,401000,1470,13390
4,3.0,1810,2.0,0,0,4,7,1997,0,52.7991,-114.482,1670,400000,1810,10173
3,2.25,1350,2.0,0,0,3,8,2007,0,52.8298,-114.502,1350,397500,1350,2225
5,1.75,2100,1.0,0,0,3,7,1961,0,52.9397,-114.406,1680,395000,2100,20311
2,1.5,1870,1.5,0,0,4,6,1926,0,52.7534,-114.478,1380,390000,1870,20760
2,1.5,1140,1.0,0,0,4,6,1925,0,52.7577,-114.541,1300,379900,1140,15240
3,2.0,1370,1.0,0,0,3,7,1926,1955,52.9629,-114.498,1300,377500,1370,14408
4,2.25,2070,2.0,0,0,4,8,1986,0,52.6688,-114.352,2390,365000,2070,16593
4,2.5,2300,1.0,0,0,4,7,1958,0,52.6344,-114.153,2120,352500,2300,342816
3,1.75,1320,1.0,0,0,3,7,1966,0,52.9567,-114.416,1310,350000,1320,21000
3,1.0,1080,1.0,0,0,4,7,1947,0,52.9609,-114.526,1100,329500,1080,10500
3,2.25,2480,2.0,0,0,3,8,1979,0,52.6843,-114.315,2280,325000,2480,18695
3,1.0,1040,1.0,0,0,3,7,1959,0,52.9587,-114.501,1160,324950,1040,14575
4,2.5,2300,2.0,0,0,3,7,2012,0,52.5894,-114.272,2110,320000,2300,7650
2,1.0,720,1.0,0,0,2,6,1943,0,52.7835,-114.583,980,310000,720,11875
5,2.75,2000,2.0,0,0,4,7,1968,0,52.674,-114.38,1240,300000,2000,17546
4,2.5,2230,2.0,0,0,3,8,2011,0,52.5663,-114.401,2030,297000,2230,8673
4,2.5,2350,2.0,0,0,3,7,1993,0,52.6505,-114.405,2000,295000,2350,17071
4,2.0,1710,1.0,0,0,5,7,1975,0,52.625,-114.364,1710,295000,1710,16086
4,1.75,2120,1.0,0,0,3,7,1965,0,52.7239,-114.487,1730,293550,2120,21043
2,1.0,1020,1.0,0,0,3,7,1930,1973,52.9271,-114.507,1380,290000,1020,12760
3,1.5,1460,1.0,0,0,4,7,1955,0,52.6702,-114.385,1580,265000,1460,17010
3,2.25,1900,1.0,0,0,3,7,1967,0,52.7169,-114.534,1560,245000,1900,16670
3,1.5,2100,1.0,0,0,4,7,1954,0,52.6522,-114.521,1300,245000,2100,17500
2,1.0,1150,1.0,0,0,3,6,1930,2013,52.7235,-114.506,1350,224000,1150,30000
3,2.0,1290,1.0,0,0,3,7,1947,0,52.7111,-114.515,1650,215000,1290,16612
4,2.5,2100,1.5,0,0,3,6,1914,0,52.7087,-114.42,1340,207000,2100,31980
3,1.0,1090,1.0,0,0,4,7,1962,0,52.518,-114.386,1300,197000,1090,29630
3,2.0,1320,1.0,0,0,3,7,1987,0,52.5935,-114.235,1420,190000,1320,15125
5,5.0,5450,2.0,0,0,3,11,2014,0,52.8509,-114.427,3160,3420000,5450,38237
8,6.0,4340,2.0,0,0,3,8,1967,0,52.8616,-114.392,2050,2150000,4340,18515
3,2.75,3940,1.0,0,4,5,9,1967,0,52.7954,-114.348,3390,1450000,3940,19031
4,4.75,5310,2.0,0,0,4,11,1989,0,52.9585,-114.232,4180,1370000,5310,104789
3,2.5,2860,2.0,0,2,3,8,1915,0,52.8763,-114.561,2310,1230000,2860,9000
5,5.0,3960,2.0,0,0,3,10,1998,0,52.61,-114.201,2240,1180000,3960,158557
3,2.5,2920,2.0,0,0,3,8,1950,2010,52.8114,-114.386,2370,1090000,2920,16226
5,3.5,5050,2.0,0,2,3,11,2001,0,52.8163,-114.157,4570,1030000,5050,33000
4,2.5,3480,2.0,0,0,3,11,1995,0,52.7804,-114.287,3290,878000,3480,23063
4,4.5,4040,2.0,0,0,3,9,2006,0,52.9367,-114.321,3940,860000,4040,16800
7,6.75,7480,2.0,0,2,3,11,1953,0,52.6943,-114.558,2810,800000,7480,74854
4,2.75,2990,2.0,0,0,3,9,2014,0,52.9401,-114.298,2990,779950,2990,9135
4,2.75,2390,1.0,0,0,3,8,1979,0,52.8335,-114.396,1910,770126,2390,18648
2,2.0,2180,2.0,0,0,3,8,1934,1979,52.9462,-114.436,2890,750000,2180,43392
4,1.75,2360,1.0,0,0,4,9,1974,0,52.8028,-114.353,2290,732000,2360,23251
4,2.5,2540,2.0,0,0,3,8,2009,0,52.9373,-114.302,3010,717000,2540,14799
5,2.0,2280,1.5,0,0,4,7,1947,0,52.8974,-114.469,1770,712500,2280,10400
2,1.0,1620,1.0,0,4,3,8,1948,0,52.7564,-114.574,1820,700000,1620,17555
3,1.75,2070,1.0,0,3,3,8,1955,0,52.7526,-114.572,2200,690000,2070,12000
6,4.5,3900,2.0,0,0,3,8,1979,0,52.8912,-114.327,2080,650000,3900,18316
4,2.25,1900,1.0,0,0,3,8,1984,0,52.791,-114.316,2330,629000,1900,21105
3,1.75,1970,1.0,0,3,4,8,1950,0,52.9513,-114.555,2280,606000,1970,17080
4,1.5,2430,1.5,0,0,4,7,1928,0,52.8082,-114.482,2240,580000,2430,9995
3,3.5,1420,2.0,0,0,3,8,2003,0,52.9127,-114.514,1494,579950,1420,2481
4,2.75,2180,2.0,0,0,4,8,1993,0,52.8002,-114.185,2060,571500,2180,11860
4,2.5,2830,2.0,0,0,3,8,2003,0,52.7696,-114.072,2470,569000,2830,21397
2,1.75,1740,1.5,0,2,4,7,1907,0,52.8294,-114.477,2020,565000,1740,8951
4,2.0,1710,1.5,0,0,4,7,1907,0,52.8386,-114.484,1710,565000,1710,7687
2,2.0,1930,1.0,0,0,3,8,2006,0,52.9491,-114.212,1640,559000,1930,10053
4,1.5,3050,1.0,0,0,3,8,1966,0,52.7566,-114.379,2930,555000,3050,92838
5,2.75,3000,1.0,0,0,3,8,1966,0,52.8867,-114.32,2050,550000,3000,18293
3,2.5,2140,2.0,0,0,4,8,1990,0,52.7086,-114.256,2380,545000,2140,83189
5,1.5,1940,1.5,0,0,4,7,1940,0,52.9513,-114.5,1900,540000,1940,18202
4,2.75,2910,1.0,0,0,4,8,1966,0,52.774,-114.366,1970,539950,2910,18000
5,2.25,2530,2.0,0,0,4,7,1961,0,52.8417,-114.324,2020,527500,2530,16500
2,1.0,1450,1.5,0,0,4,7,1921,0,52.9039,-114.586,1470,526000,1450,9500
4,2.5,2403,2.0,0,0,3,9,1999,0,52.9661,-114.424,2380,519900,2403,12247
4,2.5,2830,2.0,0,0,3,8,1993,0,52.9634,-114.16,2350,518000,2830,27789
4,4.0,3530,2.0,0,0,3,10,1992,0,52.5316,-114.532,3360,510000,3530,22185
4,3.0,2280,1.0,0,0,3,7,1978,0,52.941,-114.496,1540,505000,2280,14900
2,1.0,1570,1.5,0,1,3,8,1931,0,52.7556,-114.582,1820,502000,1570,9408
3,1.5,960,1.0,0,0,3,6,1944,0,52.9237,-114.403,2230,500000,960,13950
3,2.0,2005,1.0,0,0,3,7,1980,0,52.8339,-114.488,1750,491000,2005,11500
4,2.0,1830,1.0,0,0,3,7,1963,0,52.925,-114.366,1970,488250,1830,20364
3,1.0,1130,1.0,0,0,3,7,1939,0,52.8713,-114.591,1510,485000,1130,11758
3,2.5,2280,1.0,0,0,3,8,1990,0,52.965,-114.349,2030,475000,2280,7420
4,2.5,3202,2.0,0,0,3,9,2014,0,52.5712,-114.369,2425,460940,3202,9850
3,1.75,2560,1.0,0,0,3,7,1959,0,52.9968,-114.387,1970,460000,2560,16800
3,1.5,1160,3.0,0,0,3,8,2008,0,52.8838,-114.547,1268,459000,1160,2719
3,2.25,1540,3.0,0,0,3,7,2014,0,52.9235,-114.531,1230,449950,1540,2724
4,1.75,2560,1.0,0,0,3,7,1979,0,52.9872,-114.337,2320,448000,2560,16720
3,1.75,2350,1.0,0,0,3,7,1978,0,52.9607,-114.409,2190,440000,2350,15141
3,2.5,1680,2.0,0,0,3,7,2011,0,52.975,-114.371,1920,439000,1680,5524
3,1.75,1660,1.0,0,0,5,7,1955,0,52.9947,-114.453,1660,434000,1660,17790
3,1.75,1610,1.0,0,0,4,8,1960,0,52.9888,-114.55,2210,430000,1610,15600
4,2.0,1330,1.5,0,0,3,7,1928,2004,52.631,-114.509,1770,425000,1330,19607
3,2.5,1860,2.0,0,0,3,8,1997,0,52.9683,-114.145,2040,410000,1860,29512
3,1.75,1370,1.0,0,0,4,7,1977,0,52.8427,-114.235,1370,400000,1370,19888
3,2.5,1450,1.0,0,0,3,8,1984,0,52.8556,-114.227,1710,400000,1450,17618
5,2.25,2070,1.0,0,0,4,7,1958,0,52.8395,-114.312,1740,400000,2070,19713
3,2.5,1800,2.0,0,0,3,7,2004,0,52.7791,-114.466,1570,399000,1800,7202
2,1.0,740,1.0,0,0,5,6,1924,0,52.918,-114.498,1900,392800,740,8550
3,2.0,1930,1.0,0,0,3,7,1969,0,52.7206,-113.965,1400,390000,1930,24626
5,1.5,1750,1.5,0,0,4,7,1961,0,53.0055,-114.425,1750,385000,1750,20075
3,2.5,1470,2.0,0,0,3,7,2003,0,52.7628,-114.061,1960,381000,1470,8443
4,3.0,2420,2.0,0,0,3,7,2003,0,52.6993,-114.456,2420,375000,2420,18701
5,2.25,3260,2.0,0,0,4,8,1982,0,52.544,-114.534,2070,353950,3260,15931
3,1.75,1560,1.0,0,0,5,6,1927,0,52.7572,-114.549,1320,353900,1560,13440
3,1.75,1730,1.0,0,3,5,6,1918,0,52.5895,-114.513,2490,340000,1730,21250
2,1.75,1060,2.0,0,0,3,7,2003,0,52.7726,-114.578,1060,335000,1060,2695
3,3.0,1370,3.0,0,0,3,8,2009,0,52.9602,-114.545,1399,327000,1370,2152
2,1.0,1150,1.0,0,0,3,7,1946,0,52.7381,-114.52,1390,324950,1150,19876
2,1.0,1030,1.5,0,0,5,6,1952,0,52.9652,-114.485,1310,315000,1030,17080
2,2.25,1240,2.0,0,0,3,7,2009,0,52.7621,-114.263,1240,315000,1240,1455
4,2.5,2230,2.0,0,0,3,7,2003,0,52.5587,-114.359,2230,305000,2230,13369
3,1.0,1520,1.0,0,0,3,6,1953,0,52.9999,-114.525,1500,299000,1520,16640
3,1.0,1340,1.0,0,0,4,7,1924,0,52.6743,-114.699,1660,297000,1340,214591
3,2.5,1660,2.0,0,0,3,7,2011,0,52.5888,-114.234,1810,295000,1660,9360
3,1.75,2060,1.0,0,0,3,7,1987,0,52.5869,-114.365,1520,290000,2060,14833
3,1.5,1230,1.0,0,0,3,7,1962,0,52.6502,-114.521,1260,270000,1230,15300
2,1.0,760,1.0,0,0,4,6,1950,0,52.7766,-114.494,1640,265000,760,8500
4,2.5,1960,2.0,0,0,3,7,2003,0,52.5783,-114.242,1800,260000,1960,11132
2,1.0,770,1.0,0,0,3,6,1948,0,52.977,-114.491,1120,259950,770,14691
3,1.75,2090,1.0,0,0,3,6,1986,0,52.6064,-114.374,1420,258000,2090,14923
3,1.75,1410,1.0,0,0,5,7,1960,0,52.6269,-114.388,1630,255000,1410,17565
3,2.5,2020,1.0,0,0,3,7,1994,0,52.5845,-114.348,1710,253000,2020,11715
3,1.0,930,1.0,0,0,4,6,1973,0,52.7589,-114.47,1640,250000,930,12424
3,1.0,1470,1.0,0,0,3,7,1969,0,52.5916,-114.476,1720,240000,1470,15400
4,1.75,2020,1.0,0,0,3,7,1954,0,52.7359,-114.493,2240,240000,2020,18711
3,1.5,1810,1.0,0,0,4,7,1954,0,52.5187,-114.459,1710,229500,1810,26400
1,1.0,550,1.0,0,0,3,4,1945,0,52.7481,-114.529,1100,188000,550,25585
3,3.5,3760,2.0,1,4,3,11,2014,0,52.7585,-114.395,3560,2230000,3760,11396
2,2.5,2310,2.0,0,0,3,9,2006,0,52.8618,-114.555,2700,1250000,2310,8983
5,3.5,3900,2.0,0,0,3,9,2014,0,52.8907,-114.552,1190,1200000,3900,8800
3,2.25,2160,2.0,0,0,3,10,1982,0,52.8532,-114.489,1550,1010000,2160,11339
3,2.25,2300,1.0,0,0,4,8,1963,0,52.8622,-114.422,2200,1000000,2300,30236
3,3.5,3840,2.0,0,0,3,9,1996,0,52.9622,-114.225,3810,970000,3840,88877
3,3.5,2450,2.0,0,4,3,8,1933,1993,52.7776,-114.587,2620,939000,2450,19455
4,1.5,2890,2.0,0,4,3,8,1939,0,52.7982,-114.464,2550,910000,2890,17400
4,2.25,4470,2.0,0,0,3,10,1991,0,52.8677,-114.175,3850,885000,4470,183274
3,2.25,3440,2.0,0,2,3,10,1985,0,52.7947,-114.298,3170,855000,3440,22062
3,1.75,1400,1.0,0,0,3,7,1951,0,52.8572,-114.399,1810,850000,1400,20696
4,2.5,2910,2.0,0,0,3,9,1989,0,52.7751,-114.332,2530,805000,2910,18000
4,2.5,3500,2.0,0,0,3,9,2004,0,52.9099,-114.214,3920,790000,3500,15501
4,3.25,3240,2.0,0,0,3,9,2010,0,52.925,-114.212,3320,789500,3240,10170
4,3.0,3370,1.0,0,0,5,8,1977,0,52.6619,-114.338,2440,785000,3370,144386
3,2.5,2700,2.0,0,0,3,10,1992,0,52.7897,-114.303,2840,765000,2700,17609
4,2.5,2960,2.0,0,0,3,10,1989,0,52.9777,-114.307,3510,760000,2960,63253
3,2.25,2410,1.0,0,1,4,8,1965,0,52.9296,-114.581,2510,715500,2410,14918
4,2.25,2450,1.0,0,0,3,10,1979,0,52.8651,-114.25,2600,712000,2450,23920
3,1.75,2500,1.0,0,0,3,9,1984,0,52.9217,-114.274,2590,662000,2500,65784
4,2.5,2570,2.0,0,0,3,9,2001,0,52.9376,-114.422,2460,655000,2570,9882
3,1.0,1790,1.0,0,0,3,7,1943,0,52.8927,-114.466,1790,603000,1790,10500
2,3.25,1840,3.0,0,0,3,8,2001,0,52.8895,-114.544,1910,601450,1840,4000
3,2.5,1790,2.0,0,0,3,8,1992,0,52.9194,-114.581,1340,584000,1790,7922
3,1.75,2140,1.0,0,0,4,8,1964,0,52.8022,-114.318,2250,577500,2140,26572
2,1.75,2070,1.0,0,0,3,7,1946,0,52.8851,-114.584,1690,577000,2070,28618
4,2.5,3230,2.0,0,0,3,9,2008,0,52.7295,-114.34,2950,570000,3230,13724
3,2.25,1990,2.0,0,0,3,8,1991,0,52.8007,-114.186,2090,564800,1990,14960
3,1.0,1140,1.0,0,0,3,8,1931,0,52.9248,-114.512,1350,560000,1140,13951
3,3.5,1560,2.0,0,0,3,8,2006,0,52.8112,-114.593,1550,560000,1560,3665
3,3.5,3350,2.0,0,2,3,8,2014,0,52.7999,-114.486,2030,557500,3350,10617
4,2.5,2329,2.0,0,0,3,9,1995,0,52.9666,-114.394,2660,540000,2329,19688
3,2.0,1870,1.0,0,0,5,7,1926,0,52.9329,-114.487,1870,521000,1870,12890
4,2.25,2470,1.0,0,0,3,8,1975,0,52.9213,-114.305,2050,515000,2470,15850
3,2.0,1560,3.0,0,0,3,8,2014,0,52.835,-114.494,1560,515000,1560,2748
4,2.25,2490,2.0,0,0,3,8,1981,0,52.9847,-114.284,2030,500000,2490,36089
3,2.25,2880,1.0,0,0,3,8,1970,0,53.0007,-114.54,1880,499950,2880,17400
5,1.5,2170,1.0,0,0,4,7,1959,0,52.8411,-114.316,1670,497500,2170,19860
2,2.5,1170,2.0,0,0,3,9,2007,0,52.9175,-114.529,1170,482500,1170,1930
3,2.5,1710,2.0,0,0,3,8,1982,0,52.9536,-114.3,1710,479000,1710,18857
3,1.5,1640,1.5,0,0,3,8,1929,0,52.9169,-114.507,1490,475000,1640,7095
3,1.0,910,1.0,0,0,3,7,1942,0,52.9162,-114.582,1220,465000,910,7760
3,2.25,1870,1.0,0,0,3,7,1950,0,52.9471,-114.51,1630,455000,1870,14843
4,1.75,1640,1.0,0,0,4,7,1912,0,52.8984,-114.504,1420,450000,1640,3822
4,2.5,2430,2.0,0,0,3,8,2010,0,52.7348,-114.345,2650,427500,2430,7093
3,2.5,1770,2.0,0,0,3,8,1999,0,52.8327,-114.21,1820,420000,1770,8039
3,1.0,1310,1.0,0,0,4,7,1964,0,52.7601,-114.571,1120,415885,1310,8329
3,1.0,1510,1.0,0,0,4,6,1940,0,52.9266,-114.514,1510,415000,1510,11795
3,2.0,2050,1.0,0,0,5,7,1960,0,52.9747,-114.518,1680,399950,2050,18787
3,1.0,1720,1.0,0,0,4,7,1954,0,53.0036,-114.486,1870,399950,1720,17550
4,1.75,1960,1.0,0,0,4,7,1946,0,52.9626,-114.481,1290,395000,1960,15890
3,1.0,1380,1.0,0,0,4,7,1947,0,52.9464,-114.541,1610,389000,1380,13185
2,1.0,770,1.0,0,0,3,6,1946,0,52.9357,-114.55,1390,385000,770,15054
